danceability,acousticness,energy,speechiness,class
0.908,0.000282,0.621,0.102,1
0.686,0.278,0.73,0.374,1
0.632,0.281,0.924,0.29,1
0.816,0.16,0.775,0.234,1
0.809,0.0441,0.737,0.108,1
0.638,0.00454,0.523,0.357,1
0.789,0.127,0.858,0.311,1
0.949,0.0302,0.661,0.0572,1
0.645,0.000813,0.705,0.299,1
0.791,0.0588,0.839,0.266,1
0.696,0.244,0.634,0.281,1
0.705,0.0133,0.784,0.271,1
0.746,0.252,0.576,0.414,1
0.907,0.261,0.64,0.354,1
0.837,0.149,0.364,0.276,1
0.926,0.0659,0.703,0.103,1
0.79,0.377,0.67,0.105,1
0.778,0.0722,0.766,0.177,1
0.779,0.157,0.572,0.378,1
0.708,0.397,0.843,0.314,1
0.876,0.0627,0.786,0.306,1
0.904,0.0692,0.756,0.32,1
0.769,0.0234,0.811,0.228,1
0.893,0.0995,0.651,0.367,1
0.912,0.0165,0.412,0.123,1
0.37,0.0205,0.467,0.0273,2
0.188,0.174,0.411,0.0484,2
0.389,0.249,0.431,0.0344,2
0.618,0.204,0.793,0.0601,2
0.404,0.274,0.48,0.0303,2
0.612,0.0495,0.807,0.0336,2
0.498,0.979,0.104,0.0621,2
0.443,0.969,0.369,0.0441,2
0.536,0.82,0.311,0.0288,2
0.597,0.857,0.346,0.025,2
0.444,0.784,0.0924,0.0366,2
0.421,0.931,0.0952,0.0479,2
0.306,0.172,0.347,0.0334,2
0.671,0.804,0.156,0.0371,2
0.706,0.847,0.46,0.0296,2
0.421,0.952,0.131,0.0382,2
0.576,0.807,0.307,0.0428,2
0.464,0.771,0.288,0.0286,2
0.407,0.521,0.365,0.0261,2
0.513,0.504,0.638,0.041,2
0.428,0.042,0.412,0.0246,2
0.728,0.249,0.638,0.0336,2
0.498,0.0148,0.885,0.0461,2
0.565,0.0542,0.654,0.0335,2
0.368,0.913,0.286,0.0294,2
0.52,0.342,0.731,0.0557,3
0.737,0.00614,0.846,0.22,3
0.632,0.0623,0.773,0.0346,3
0.591,0.0383,0.764,0.0483,3
0.494,0.000569,0.951,0.132,3
0.691,0.000812,0.795,0.0355,3
0.796,0.0261,0.777,0.0397,3
0.776,0.0297,0.808,0.117,3
0.667,0.0296,0.954,0.0817,3
0.623,0.0162,0.734,0.107,3
0.654,0.0294,0.655,0.106,3
0.707,0.0863,0.813,0.0571,3
0.678,0.000417,0.918,0.0355,3
0.64,0.00312,0.82,0.0464,3
0.63,0.0186,0.934,0.0589,3
0.721,0.0921,0.802,0.0583,3
0.659,0.0045,0.857,0.0437,3
0.687,0.102,0.761,0.0876,3
0.628,0.093,0.593,0.0323,3
0.711,0.00498,0.7,0.046,3
0.742,0.0205,0.713,0.0303,3
0.583,0.00312,0.732,0.0457,3
0.596,0.0169,0.854,0.463,3
0.789,0.129,0.716,0.0432,3
0.773,0.0239,0.747,0.0889,3